, ,knapPI_1_1000_1000_1, , ,knapPI_1_100_1000_1, , ,knapPI_1_2000_1000_1, , ,knapPI_1_200_1000_1, , ,knapPI_1_500_1000_1, , ,knapPI_2_1000_1000_1, , ,knapPI_2_100_1000_1, , ,knapPI_2_2000_1000_1, , ,knapPI_2_200_1000_1, , ,knapPI_2_500_1000_1, , ,knapPI_3_1000_1000_1, , ,knapPI_3_100_1000_1, , ,knapPI_3_2000_1000_1, , ,knapPI_3_200_1000_1, , ,knapPI_3_500_1000_1, , 
WOA S2-COM_SINE,49312.0,47966.194,9.524,9147.0,9147.0,0.0,94146.0,91178.806,14.896,11238.0,11236.097,0.0,27953.0,27397.419,3.133,8790.0,8716.516,2.894,1512.0,1512.0,0.132,17068.0,16805.871,5.446,1634.0,1634.0,0.0,4533.0,4501.452,0.723,13486.0,13178.161,6.282,2397.0,2396.935,0.0,25906.0,25271.258,10.419,2697.0,2696.871,0.0,6900.0,6788.355,3.049 
WOA S2-COM_SINGER,50170.0,46691.161,7.95,9147.0,9147.0,0.0,95646.0,90601.161,13.54,11238.0,11233.484,0.0,27972.0,26589.097,3.067,8758.0,8609.71,3.248,1512.0,1512.0,0.132,17031.0,16735.548,5.651,1634.0,1633.516,0.0,4513.0,4458.452,1.161,13375.0,13009.419,7.054,2397.0,2396.935,0.0,25811.0,25342.323,10.747,2697.0,2696.032,0.0,6908.0,6699.258,2.937 
WOA S2-COM_SINU,49464.0,46881.032,9.245,9147.0,9147.0,0.0,96128.0,90695.226,13.105,11238.0,11236.581,0.0,27347.0,26271.161,5.233,8830.0,8558.516,2.452,1512.0,1509.871,0.132,17133.0,16728.935,5.086,1634.0,1629.71,0.0,4525.0,4452.161,0.898,13282.0,13046.548,7.7,2397.0,2397.0,0.0,26015.0,25274.387,10.042,2697.0,2696.645,0.0,6817.0,6677.484,4.215 
WOA S2-COM_TENT,49743.0,48183.645,8.733,9147.0,9147.0,0.0,95027.0,91353.129,14.1,11238.0,11237.645,0.0,28173.0,27497.774,2.37,8944.0,8746.258,1.193,1512.0,1512.0,0.132,17092.0,16850.774,5.313,1634.0,1634.0,0.0,4555.0,4507.581,0.241,13366.0,13131.194,7.116,2397.0,2396.968,0.0,25715.0,25332.645,11.079,2697.0,2697.0,0.0,6901.0,6788.194,3.035 
WOA S2-COM_CIRCLE,50372.0,49047.355,7.579,9147.0,9147.0,0.0,95741.0,92354.161,13.454,11238.0,11233.742,0.0,28247.0,27596.935,2.114,8879.0,8778.226,1.911,1512.0,1512.0,0.132,17083.0,16874.71,5.363,1634.0,1633.548,0.0,4551.0,4507.581,0.329,13985.0,13426.806,2.814,2397.0,2396.968,0.0,25815.0,25367.129,10.733,2697.0,2697.0,0.0,6998.0,6816.0,1.672 
WOA S2-ELIT,48421.0,46461.742,11.159,9147.0,8855.355,0.0,93971.0,90895.742,15.054,11238.0,10900.387,0.0,27670.0,26169.129,4.113,8720.0,8592.29,3.668,1512.0,1499.548,0.132,16969.0,16727.032,5.994,1634.0,1617.065,0.0,4509.0,4402.355,1.248,13385.0,12983.839,6.984,2396.0,2313.226,0.042,26418.0,25331.742,8.648,2697.0,2657.032,0.0,6904.0,6681.935,2.993 
WOA S2-ELIT_LOG,48497.0,46619.903,11.02,9147.0,8930.355,0.0,94071.0,90695.968,14.964,11238.0,10874.161,0.0,28187.0,26043.774,2.322,8677.0,8571.258,4.143,1512.0,1498.484,0.132,16990.0,16759.129,5.878,1633.0,1615.129,0.061,4526.0,4418.613,0.876,13482.0,13058.968,6.31,2390.0,2322.226,0.292,25809.0,25297.194,10.754,2694.0,2626.774,0.111,6908.0,6671.097,2.937 
WOA S2-ELIT_PIECE,49052.0,46461.161,10.001,9147.0,8971.774,0.0,94861.0,90753.613,14.25,11238.0,10862.226,0.0,27241.0,25960.355,5.6,8748.0,8592.935,3.358,1512.0,1495.161,0.132,17039.0,16728.516,5.606,1634.0,1617.161,0.0,4472.0,4400.323,2.059,13283.0,13043.839,7.693,2396.0,2312.387,0.042,25818.0,25361.548,10.723,2697.0,2639.0,0.0,6816.0,6660.097,4.229 
WOA S2-ELIT_SINE,48976.0,46446.516,10.141,9147.0,8925.742,0.0,93616.0,90590.871,15.375,11227.0,10839.29,0.098,27318.0,25972.29,5.333,8734.0,8589.516,3.513,1512.0,1499.161,0.132,17009.0,16753.613,5.773,1634.0,1617.323,0.0,4507.0,4398.548,1.292,13284.0,13009.484,7.686,2396.0,2309.226,0.042,26011.0,25300.258,10.056,2697.0,2642.065,0.0,7016.0,6664.806,1.419 
WOA S2-ELIT_SINGER,49767.0,46828.258,8.689,9147.0,8886.419,0.0,95689.0,90577.935,13.501,11238.0,10919.548,0.0,27655.0,25919.452,4.165,8737.0,8577.903,3.48,1512.0,1498.516,0.132,16957.0,16700.935,6.061,1633.0,1616.935,0.061,4535.0,4414.355,0.679,13289.0,12997.258,7.651,2397.0,2313.194,0.0,26010.0,25305.419,10.059,2697.0,2659.355,0.0,6815.0,6666.581,4.243 
WOA S2-ELIT_SINU,47838.0,46475.677,12.229,9147.0,8912.452,0.0,93962.0,90689.613,15.063,11223.0,10896.516,0.133,27717.0,26085.613,3.951,8732.0,8570.419,3.535,1512.0,1498.161,0.132,17135.0,16696.968,5.075,1634.0,1613.613,0.0,4486.0,4399.161,1.752,13484.0,13036.645,6.296,2397.0,2306.839,0.0,25611.0,25230.226,11.439,2697.0,2648.387,0.0,6808.0,6666.968,4.342 
WOA S2-ELIT_TENT,49784.0,47014.29,8.658,9147.0,8876.065,0.0,94309.0,90461.419,14.749,11238.0,10782.806,0.0,27442.0,26103.839,4.903,8802.0,8590.774,2.762,1512.0,1495.903,0.132,16990.0,16707.387,5.878,1634.0,1617.0,0.0,4508.0,4410.71,1.27,13482.0,13055.194,6.31,2390.0,2326.903,0.292,25910.0,25360.452,10.405,2697.0,2658.355,0.0,6908.0,6653.355,2.937 
WOA S2-ELIT_CIRCLE,49289.0,46553.29,9.566,9147.0,8863.613,0.0,93525.0,90443.548,15.458,11227.0,10790.129,0.098,27296.0,26013.194,5.409,8780.0,8597.194,3.005,1512.0,1497.645,0.132,17124.0,16765.419,5.135,1634.0,1621.032,0.0,4473.0,4402.774,2.037,13380.0,13045.323,7.019,2397.0,2305.677,0.0,26013.0,25284.032,10.049,2695.0,2628.258,0.074,6914.0,6663.935,2.852 
SCA S2-STD,53681.0,52958.129,1.508,9147.0,9147.0,0.0,105363.0,103724.323,4.757,11238.0,11238.0,0.0,28857.0,28772.323,0.0,9045.0,8989.871,0.077,1512.0,1512.0,0.132,17794.0,17663.065,1.424,1634.0,1634.0,0.0,4566.0,4558.548,0.0,14090.0,14039.097,2.085,2397.0,2397.0,0.0,27716.0,27517.065,4.16,2697.0,2697.0,0.0,7116.0,7069.935,0.014 
SCA S2-STD_LOG,52931.0,51803.355,2.884,9147.0,9147.0,0.0,102554.0,101476.903,7.296,11238.0,11238.0,0.0,28764.0,28625.194,0.322,9001.0,8947.581,0.563,1512.0,1512.0,0.132,17643.0,17506.129,2.26,1634.0,1634.0,0.0,4566.0,4554.129,0.0,13990.0,13867.774,2.78,2397.0,2397.0,0.0,27214.0,26996.968,5.896,2697.0,2697.0,0.0,7017.0,7016.355,1.405 
SCA S2-STD_PIECE,53662.0,52702.71,1.543,9147.0,9147.0,0.0,105728.0,103444.581,4.427,11238.0,11238.0,0.0,28834.0,28791.613,0.08,9030.0,8988.258,0.243,1512.0,1512.0,0.132,17757.0,17658.323,1.629,1634.0,1634.0,0.0,4566.0,4560.484,0.0,14090.0,14030.516,2.085,2397.0,2397.0,0.0,27619.0,27488.613,4.495,2697.0,2697.0,0.0,7116.0,7058.968,0.014 
SCA S2-STD_SINE,53318.0,52691.935,2.174,9147.0,9147.0,0.0,103910.0,102593.613,6.07,11238.0,11238.0,0.0,28857.0,28706.935,0.0,9013.0,8987.806,0.431,1512.0,1512.0,0.132,17736.0,17631.355,1.745,1634.0,1634.0,0.0,4566.0,4566.0,0.0,14087.0,13987.065,2.106,2397.0,2397.0,0.0,27418.0,27308.677,5.19,2697.0,2697.0,0.0,7116.0,7025.645,0.014 
SCA S2-STD_SINGER,49265.0,47890.0,9.61,9147.0,9147.0,0.0,95257.0,90910.032,13.892,11238.0,11237.645,0.0,28182.0,27467.387,2.339,8827.0,8744.71,2.486,1512.0,1512.0,0.132,17005.0,16811.968,5.795,1634.0,1634.0,0.0,4551.0,4507.968,0.329,13467.0,13186.645,6.414,2397.0,2397.0,0.0,25618.0,25265.516,11.415,2697.0,2697.0,0.0,6915.0,6815.968,2.838 
SCA S2-STD_SINU,48741.0,46592.0,10.572,9147.0,9147.0,0.0,95017.0,91056.871,14.109,11238.0,11237.29,0.0,27261.0,26158.355,5.531,8729.0,8589.258,3.568,1513.0,1512.032,0.066,17111.0,16776.548,5.207,1634.0,1631.419,0.0,4501.0,4437.484,1.424,13286.0,13046.0,7.672,2397.0,2397.0,0.0,26012.0,25404.613,10.052,2697.0,2696.677,0.0,6815.0,6658.032,4.243 
SCA S2-STD_TENT,53416.0,52875.29,1.994,9147.0,9147.0,0.0,106046.0,104096.097,4.139,11238.0,11238.0,0.0,28857.0,28793.935,0.0,9028.0,8988.226,0.265,1512.0,1512.0,0.132,17773.0,17651.452,1.54,1634.0,1634.0,0.0,4566.0,4561.355,0.0,14187.0,14056.677,1.411,2397.0,2397.0,0.0,27814.0,27548.613,3.821,2697.0,2697.0,0.0,7117.0,7087.71,0.0 
SCA S2-STD_CIRCLE,54234.0,54057.452,0.494,9147.0,9147.0,0.0,108845.0,108422.226,1.609,11238.0,11238.0,0.0,28857.0,28855.516,0.0,9030.0,9013.968,0.243,1512.0,1512.0,0.132,17974.0,17939.097,0.427,1634.0,1634.0,0.0,4566.0,4554.613,0.0,14290.0,14285.226,0.695,2397.0,2396.097,0.0,28518.0,28371.161,1.387,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
SCA S2-COM,49110.0,46767.677,9.895,9147.0,9147.0,0.0,94027.0,90608.0,15.004,11238.0,11217.71,0.0,27534.0,26586.032,4.585,8718.0,8611.258,3.69,1512.0,1512.0,0.132,17009.0,16747.903,5.773,1634.0,1633.548,0.0,4505.0,4454.323,1.336,13388.0,13052.645,6.963,2397.0,2395.387,0.0,25908.0,25323.065,10.412,2697.0,2695.484,0.0,6814.0,6672.742,4.257 
SCA S2-COM_LOG,48051.0,46850.258,11.838,9147.0,9147.0,0.0,95094.0,90690.839,14.039,11238.0,11212.742,0.0,26993.0,26440.452,6.459,8837.0,8614.419,2.375,1512.0,1512.0,0.132,16964.0,16711.581,6.022,1634.0,1633.258,0.0,4499.0,4456.452,1.467,13384.0,13069.774,6.991,2397.0,2393.968,0.0,25917.0,25344.71,10.381,2697.0,2695.871,0.0,6815.0,6692.516,4.243 
SCA S2-COM_PIECE,48216.0,46511.387,11.535,9147.0,9147.0,0.0,94640.0,90199.355,14.45,11238.0,11217.71,0.0,27409.0,26451.419,5.018,8712.0,8603.774,3.756,1512.0,1512.0,0.132,16946.0,16682.645,6.122,1634.0,1633.806,0.0,4512.0,4451.871,1.183,13276.0,13000.548,7.741,2397.0,2392.677,0.0,26211.0,25345.065,9.364,2697.0,2695.226,0.0,6817.0,6675.806,4.215 
SCA S2-COM_SINE,48435.0,46890.097,11.133,9147.0,9147.0,0.0,95557.0,90575.968,13.621,11238.0,11231.613,0.0,27353.0,26598.194,5.212,8784.0,8630.032,2.961,1512.0,1512.0,0.132,16982.0,16704.258,5.922,1634.0,1633.742,0.0,4517.0,4455.387,1.073,13383.0,13054.065,6.998,2397.0,2395.226,0.0,26014.0,25301.161,10.045,2697.0,2695.774,0.0,6817.0,6708.0,4.215 
SCA S2-COM_SINGER,48477.0,46364.194,11.056,9147.0,9147.0,0.0,94604.0,90331.581,14.482,11238.0,11120.194,0.0,27610.0,26059.645,4.321,8759.0,8601.065,3.237,1512.0,1512.0,0.132,16906.0,16694.161,6.343,1634.0,1632.484,0.0,4497.0,4413.29,1.511,13490.0,13031.903,6.254,2397.0,2381.129,0.0,26314.0,25326.645,9.008,2697.0,2656.516,0.0,6806.0,6657.226,4.37 
SCA S2-COM_SINU,47996.0,46647.258,11.939,9147.0,9147.0,0.0,94238.0,90794.581,14.813,11238.0,11231.613,0.0,27051.0,26021.871,6.258,8815.0,8588.613,2.618,1512.0,1501.935,0.132,16980.0,16732.581,5.933,1634.0,1628.032,0.0,4459.0,4394.161,2.343,13377.0,13040.097,7.04,2397.0,2397.0,0.0,26004.0,25329.581,10.08,2697.0,2693.645,0.0,6817.0,6663.935,4.215 
SCA S2-COM_TENT,48867.0,46575.839,10.341,9147.0,9147.0,0.0,95329.0,90429.548,13.827,11238.0,11226.548,0.0,27446.0,26551.226,4.89,8769.0,8616.032,3.126,1512.0,1512.0,0.132,16965.0,16707.903,6.016,1634.0,1633.452,0.0,4537.0,4455.71,0.635,13390.0,13008.29,6.949,2397.0,2395.548,0.0,25705.0,25348.677,11.114,2697.0,2695.387,0.0,6816.0,6699.194,4.229 
SCA S2-COM_CIRCLE,48510.0,47243.968,10.996,9147.0,9147.0,0.0,93304.0,90315.484,15.657,11238.0,11137.839,0.0,27201.0,26517.323,5.739,8753.0,8654.065,3.303,1512.0,1512.0,0.132,16954.0,16701.032,6.077,1634.0,1630.613,0.0,4507.0,4442.065,1.292,13287.0,13034.613,7.665,2397.0,2393.677,0.0,25714.0,25337.935,11.083,2697.0,2693.387,0.0,6913.0,6699.226,2.866 
SCA S2-ELIT,48700.0,46472.032,10.647,9147.0,8815.935,0.0,93627.0,90490.226,15.365,11238.0,10875.645,0.0,27088.0,26168.129,6.13,8684.0,8579.0,4.065,1512.0,1499.065,0.132,17042.0,16727.0,5.59,1627.0,1615.903,0.428,4509.0,4402.129,1.248,13378.0,13041.419,7.033,2390.0,2301.742,0.292,25819.0,25238.839,10.72,2697.0,2660.226,0.0,6916.0,6664.0,2.824 
SCA S2-ELIT_LOG,49297.0,46567.968,9.552,9147.0,8898.839,0.0,94817.0,90709.839,14.29,11227.0,10865.968,0.098,27540.0,26029.226,4.564,8752.0,8601.355,3.314,1512.0,1500.452,0.132,17005.0,16725.839,5.795,1634.0,1616.839,0.0,4504.0,4414.387,1.358,13478.0,13063.097,6.338,2396.0,2316.452,0.042,25914.0,25278.226,10.391,2697.0,2643.903,0.0,6816.0,6684.484,4.229 
SCA S2-ELIT_PIECE,48445.0,46666.29,11.115,9147.0,8938.839,0.0,94780.0,91059.161,14.323,11238.0,10837.29,0.0,27207.0,26009.161,5.718,8756.0,8594.484,3.27,1512.0,1493.516,0.132,16950.0,16734.0,6.099,1634.0,1621.516,0.0,4515.0,4410.29,1.117,13287.0,13029.839,7.665,2396.0,2319.29,0.042,25719.0,25284.065,11.065,2695.0,2659.258,0.074,6813.0,6661.258,4.271 
SCA S2-ELIT_SINE,48313.0,46879.742,11.357,9147.0,8889.323,0.0,95798.0,90960.581,13.403,11238.0,10874.677,0.0,27046.0,25994.484,6.276,8746.0,8597.0,3.38,1512.0,1498.258,0.132,17063.0,16706.323,5.473,1634.0,1618.323,0.0,4514.0,4409.032,1.139,13286.0,13014.065,7.672,2397.0,2311.419,0.0,25705.0,25235.161,11.114,2697.0,2633.581,0.0,6815.0,6675.387,4.243 
SCA S2-ELIT_SINGER,48866.0,46692.613,10.343,9147.0,8904.613,0.0,95383.0,90819.161,13.778,11238.0,10952.065,0.0,26614.0,25867.839,7.773,8798.0,8596.032,2.806,1512.0,1498.387,0.132,16993.0,16677.323,5.861,1634.0,1617.742,0.0,4479.0,4412.935,1.905,13285.0,13063.516,7.679,2397.0,2324.387,0.0,25616.0,25309.645,11.422,2697.0,2655.097,0.0,6910.0,6680.516,2.909 
SCA S2-ELIT_SINU,49053.0,46605.419,9.999,9147.0,8942.323,0.0,96188.0,90429.774,13.05,11183.0,10892.226,0.489,27665.0,26207.032,4.131,8706.0,8586.774,3.822,1512.0,1501.903,0.132,16840.0,16678.774,6.709,1633.0,1619.0,0.061,4533.0,4409.806,0.723,13287.0,13051.581,7.665,2396.0,2316.71,0.042,25915.0,25287.871,10.388,2695.0,2641.065,0.074,6796.0,6656.484,4.51 
SCA S2-ELIT_TENT,49839.0,46487.742,8.557,9147.0,8872.839,0.0,95551.0,91256.774,13.626,11227.0,10868.484,0.098,27248.0,26044.806,5.576,8720.0,8586.871,3.668,1512.0,1498.323,0.132,17056.0,16724.581,5.512,1627.0,1613.806,0.428,4491.0,4409.097,1.643,13380.0,13053.387,7.019,2397.0,2326.645,0.0,26111.0,25325.871,9.71,2697.0,2648.839,0.0,7015.0,6654.484,1.433 
SCA S2-ELIT_CIRCLE,49340.0,47225.548,9.473,9147.0,8893.484,0.0,94775.0,90491.323,14.328,11238.0,10880.548,0.0,27270.0,26108.871,5.5,8808.0,8600.032,2.696,1512.0,1496.0,0.132,16972.0,16737.226,5.978,1627.0,1616.226,0.428,4483.0,4395.677,1.818,13390.0,12989.129,6.949,2390.0,2310.581,0.292,25816.0,25341.065,10.73,2697.0,2645.032,0.0,6903.0,6669.613,3.007 
